Execution Number,Execution Time,Success
1,43.412527322769165,True
2,53.08344101905823,True
3,72.52607321739197,True
4,60.073835134506226,True
5,47.644446849823,True
6,49.755966901779175,True
7,48.997771978378296,True
8,39.71857833862305,True
9,52.299227476119995,True
10,43.42032194137573,True
11,32.15234684944153,True
12,50.06005239486694,True
13,50.89484977722168,True
14,54.21832203865051,True
15,53.42036843299866,True
16,56.64402365684509,True
17,38.11328959465027,True
18,47.38401460647583,True
19,47.24271631240845,True
20,53.928468465805054,True
21,49.48096203804016,True
22,43.44158387184143,True
23,61.85903835296631,True
24,37.955867528915405,True
25,60.418211460113525,True
26,47.32111167907715,True
27,47.03011178970337,True
28,56.494919300079346,True
29,25.057745456695557,True
30,56.40859651565552,True
31,48.77451276779175,True
32,54.29188418388367,True
33,43.81439995765686,True
34,133.77723240852356,True
35,40.1579806804657,True
36,50.07724738121033,True
37,51.03970742225647,True
38,34.32260179519653,True
39,60.71241998672485,True
40,48.62248706817627,True
41,61.381168603897095,True
42,57.15961194038391,True
43,40.12960338592529,True
44,55.28113293647766,True
45,47.5151207447052,True
46,54.006587505340576,True
47,47.71417164802551,True
48,55.92632865905762,True
49,61.790751218795776,True
50,71.20807123184204,True
51,73.05441856384277,True
52,47.19411611557007,True
53,39.0397675037384,True
54,53.085784912109375,True
55,39.55851435661316,True
56,57.154558181762695,True
57,45.12114429473877,True
58,50.68368363380432,True
59,51.061997413635254,True
60,60.00298261642456,True
61,46.25795030593872,True
62,61.06718301773071,True
63,66.67020535469055,True
64,55.60281181335449,True
65,41.55301117897034,True
66,107.66922664642334,True
67,51.247633934020996,True
68,49.34794330596924,True
69,49.615068197250366,True
70,17.534518003463745,True
71,59.361533641815186,True
72,47.83086609840393,True
73,59.01515746116638,True
74,39.652764558792114,True
75,44.906615257263184,True
76,52.76963782310486,True
77,64.06505250930786,True
78,53.734586238861084,True
79,62.42808389663696,True
80,56.707499504089355,True
81,47.717442989349365,True
82,59.451674699783325,True
83,48.21215462684631,True
84,50.42010474205017,True
85,47.51486539840698,True
86,57.03211450576782,True
